,Drenaje,variedad,tratSemilla,tipLab,ano,deshierbe,escarda,rastraprebarbecho,subsoleocinceleopiqueoescarificado,barbecho,rastreo,nivelacion,trazosurci,reformacioncamassurcos,monocultivo,preparacionsueloherbicida,fertilizacionquimicasuelo,fertilizacionquimicafoliar,usobiofertilizantes,usomejoradores,controlquimicomalezasdespuessiembra,insecticida,fungicida,CE,n,p,k,Arcillapr,Limoprc,Arenaprc,PH,MO,CIC,SBprc,TXAvg,TMAvg,TAvg,DRAvg,RSAvg,RSAccu,TX34Freq,PAccu,P10Freq,TM8Freq,RHAvg,RHsd,rendimiento
96154_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,138,0,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.86804734,14.18343195,19.52573964,10.68461538,479.1788757,80981.23,0,502.9,0.076923077,0,82.5408284,5.117217252,3
98207_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,105.5,34.5,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,25.96790123,15.27283951,20.62037037,10.69506173,489.1329012,79239.53,0,661.1,0.111111111,0,81.89290123,5.80714089,1.4
100025_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,1,106.4,36.8,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,25.9675,15.28,20.62375,10.6875,489.076125,78252.18,0,661.1,0.1125,0,81.9039375,5.817533798,1.5
100047_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,105.5,34.5,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.96790123,15.27283951,20.62037037,10.69506173,489.1329012,79239.53,0,661.1,0.111111111,0,81.89290123,5.80714089,1.5
100049_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,105.5,34.5,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.67314286,15.01485714,20.344,10.65828571,481.3897143,84243.2,0,698.5,0.114285714,0,82.26988571,5.544484884,1.5
100869_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,1,105.5,34.5,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.98136646,15.27515528,20.62826087,10.70621118,489.7569565,78850.87,0,661.1,0.111801242,0,81.86838509,5.816844172,1.8
101338_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,92,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,24.71155779,14.13316583,19.42236181,10.57839196,474.5235678,94430.19,0,557,0.075376884,0,82.26623116,5.070989819,1.3
101384_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,92,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,24.92768362,14.44011299,19.68389831,10.48757062,476.1829379,84284.38,0,561.1,0.084745763,0,82.82225989,4.98527747,1.2
101973_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,92,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,24.91864407,14.46610169,19.69237288,10.45254237,475.2553672,84120.2,0,569,0.084745763,0,82.88966102,5.030203536,1.3
101975_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,101,23,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.606875,13.670625,19.13875,10.93625,463.8415625,74214.65,0,416,0.075,0.00625,82.4179375,5.425494801,1.3
101999_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,93.6,27.6,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,24.93114754,14.45464481,19.69289617,10.47650273,474.8528415,86898.07,0,615.1,0.087431694,0,82.95054645,5.001568845,1.15
102024_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,92,0,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.00983607,14.60218579,19.80601093,10.40765027,472.8593443,86533.26,0,682.1,0.103825137,0,82.97480874,5.091408929,1.25
103479_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,138,0,0,29,18,55,6.678875,0.967090278,16.73567361,84.83472222,24.81320755,14.29119497,19.55220126,10.52201258,477.9144025,75988.39,0,499.5,0.081761006,0,82.77830189,5.084785472,2.5
106988_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,64,46,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,25.8871345,15.15497076,20.52105263,10.73216374,486.0942105,83122.11,0,661.1,0.105263158,0,81.93497076,5.703277321,1.5
106989_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,110,46,0,16,17,67,5.952149471,0.837641723,8.636989795,70.3473167,25.80306748,15.19570552,20.4993865,10.60736196,486.1844172,79248.06,0,660,0.110429448,0,82.20202454,5.597004177,1.6
107716_1,D2,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,64,46,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,26.07857143,15.3172619,20.69791667,10.76130952,487.101131,81832.99,0,691.5,0.113095238,0,81.78083333,6.023718232,2
115475_1,D4,CRIOLLOAMARILLO,S0,LabConvTra,2016,0,0,0,0,2,0,0,2,0,1,0,2,0,0,0,2,0,0,1,165,69,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,26.54625,14.8575,20.701875,11.68875,495.6391667,118953.4,0,840,0.104166667,0,79.76291667,7.419393438,2
115476_1,D2,CRIOLLOAMARILLO,S0,LabCeroMin,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,3,55,23,0,47,22,31,7.89775,1.649208333,33.06071875,94.03358333,24.85409836,14.22513661,19.53961749,10.62896175,475.7789617,87067.55,0,549.2,0.081967213,0,82.55344262,5.115587004,1.1
11866_1,D4,CRIOLLOBLANCO,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,138,0,0,30,26,44,7.226527778,9.0025,41.59819444,81.60180556,30.5634916,18.20502298,24.38425729,12.35846862,387.7528436,80652.59148,0.057692308,2864.6,0.442307692,0,73.75906885,9.809641103,3.1
12587_1,D4,CRIOLLOBLANCO,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,33.6147,0.08,0.06,22,22,56,8.009488409,1.167548805,22.4036886,94.37760732,27.89612648,17.80114675,22.84863662,10.09497973,270.5940953,52224.66038,0,1411,0.243523316,0.005181347,82.26314415,4.642467454,2
12972_1,D4,CRIOLLOBLANCO,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,46.1147,0.08,0.06,22,22,56,8.009488409,1.167548805,22.4036886,94.37760732,28.07984758,18.31116753,23.19550755,9.768680046,273.3891734,49483.44038,0,1515,0.276243094,0.005524862,82.49909846,4.305202645,2.5
14479_1,D4,CRIOLLOBLANCO,S1,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,79.5,0,0,22,22,56,8.009488409,1.167548805,22.4036886,94.37760732,28.31799218,18.19320849,23.25560033,10.12478369,269.8333024,54776.16038,0.009852217,1612.2,0.256157635,0.004926108,82.08643754,4.588666263,2
113960_1,D2,CRIOLLOBLANCO,S0,LabConvTra,2016,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,138,0,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,26.09533333,15.38866667,20.742,10.70666667,491.2661333,73689.92,0,658.7,0.126666667,0,81.5868,5.892234831,1.1
113962_1,D2,CRIOLLOBLANCO,S0,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,69,0,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,26.51460674,15.28258427,20.89859551,11.23202247,492.028427,87581.06,0,763.4,0.123595506,0,81.02842697,6.56199465,1
113966_1,D2,CRIOLLOBLANCO,S1,LabConvTra,2016,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,78,23,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,26.53097345,14.97699115,20.7539823,11.5539823,495.179292,111910.52,0,801.8,0.101769912,0,79.96075221,7.198136108,1.4
15083_1,D4,CRIOLLO,S0,LabConvTra,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,72.5,72.5,72.5,22,22,56,8.009488409,1.167548805,22.4036886,94.37760732,30.54405941,17.27376238,23.90891089,13.27029703,350.305932,70761.79827,0.02970297,411.4,0.059405941,0,78.06455446,7.151582092,3
12020_1,D4,CRIOLLO,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,1,78,23,0,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,30.56432432,17.31459459,23.93945946,13.24972973,354.7266933,65624.43827,0.032432432,389,0.064864865,0,78.3587027,6.784059997,3.8
15066_1,D4,OTRAS,S0,LabConvTra,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,36,92,0,22,22,56,8.009488409,1.167548805,22.4036886,94.37760732,30.56236559,17.32903226,23.94569892,13.23333333,354.1459584,65871.14827,0.032258065,398.6,0.064516129,0,78.39548387,6.784270443,3
45164_1,D4,OTRAS,S1,LabConvTra,2014,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,2,1,0,1,124,23,30,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,27.36477954,18.52097884,22.94287919,8.843800698,323.37242,54326.56657,0,1749,0.238095238,0,87.91613006,6.855666553,4.5
106548_1,D4,OTRAS,S0,AgrCons,2016,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156.075,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.5482897,18.41218644,23.98023807,11.13610326,403.5959728,89194.70999,0.022624434,258.67,0.040723982,0.009049774,78.43644782,5.513768065,5
12203_1,D4,OTRAS,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,1,0,1,188,69,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.43177291,19.91894946,24.67536118,9.512823452,358.7032983,59544.74751,0.048192771,5993.6,0.626506024,0,85.2286689,4.684371967,4
2683_1,D4,DEKALB357,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,2,2,0,1,217.08,23.765,0.585,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,30.45818182,17.17090909,23.81454545,13.28727273,351.8665956,58057.98827,0.036363636,324.6,0.054545455,0,78.43781818,6.931287414,4.2
11039_1,D4,DEKALB357,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,2,0,1,165,69,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,31.70202778,20.79481366,26.24842072,10.90721412,342.5308593,56517.59178,0.066666667,9144.4,0.745454545,0.006060606,73.2433865,11.51525451,3.9
12267_1,D4,DEKALB357,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,2,2,0,1,188,69,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,31.79133844,20.68643229,26.23888536,11.10490616,349.3422193,62532.25725,0.067039106,9183.8,0.69273743,0.005586592,73.72339782,10.94410793,4
12277_1,D4,DEKALB357,S1,AgrCons,2012,0,0,0,0,1,1,0,0,1,1,0,3,0,0,0,2,2,0,1,165,69,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,31.82581952,20.69701467,26.2614171,11.12880485,351.5920439,64692.93608,0.076086957,9184.4,0.673913043,0.005434783,73.66773299,10.9689879,6
13606_1,D4,DEKALB357,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,2,0,1,62.6,55.2,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.3588198,18.92550228,23.64216104,9.433317523,280.6298619,39849.44038,0,1299.6,0.316901408,0,82.7918086,3.87939775,4.45
90324_1,D4,DEKALB357,S0,LabConvTra,2016,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,3.46,0.46,0.6,22,23,55,5.219881885,1.0569118,13.67510446,34.51770002,30.75553459,18.81220126,24.78386792,11.94333333,440.858239,70096.46,0.006289308,2.6,0,0,85.40484277,4.065059804,6.5
1989_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,2,2,0,1,124.48,23.34,30.26,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.07091758,18.06904702,23.0699823,10.00187056,276.1687592,48881.87038,0,1329,0.259887006,0.005649718,82.03438882,4.316082976,4.6
3083_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,2,0,1,156,46,30,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.42275143,20.00725166,24.71500154,9.415499776,357.7824617,58676.32371,0.048780488,6084.2,0.640243902,0,85.19479523,4.73078703,4.7
3084_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,1,0,1,234,69,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.4233506,19.91906052,24.67120556,9.504290082,358.6543322,59536.61914,0.048192771,5945.4,0.620481928,0,85.25987733,4.643612702,4
3085_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.51324801,19.11149725,24.31237263,10.40175076,372.9341402,71603.35491,0.041666667,5538,0.505208333,0,85.47612706,4.85640242,4.5
3086_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.50048163,19.12832802,24.31440482,10.37215361,373.0212714,71247.06284,0.041884817,5473.4,0.502617801,0,85.48679464,4.86690971,4.5
3419_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.71708755,19.13148082,24.42428418,10.58560674,376.3894269,82052.89507,0.059633028,6259.6,0.504587156,0,85.5183502,4.94844559,5
5495_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,2,1,0,1,86.24,17.36,17.12,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.42103992,20.17444053,24.79774022,9.246599388,355.2674577,58974.39798,0.054216867,6184.4,0.65060241,0,85.26566312,4.906218725,5
5496_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,110.2294,46.16,0.12,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.42103992,20.17444053,24.79774022,9.246599388,355.2674577,58974.39798,0.054216867,6184.4,0.65060241,0,85.26566312,4.906218725,5
10670_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.54094195,19.09228158,24.31661176,10.44866038,374.5986089,72672.13013,0.041237113,5473.4,0.494845361,0,85.41833938,4.895325094,6
10694_1,D4,DEKALB370,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,2,1,0,1,124,23,30,22,22,56,8.009488409,1.167548805,22.4036886,94.37760732,30.47657143,17.00857143,23.74257143,13.468,350.9710187,61419.92827,0.034285714,347.8,0.057142857,0,77.9196,7.259529636,4.2
10770_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.73259542,19.1449638,24.43877961,10.58763162,376.0033456,82720.73603,0.059090909,6259.7,0.5,0,85.52766832,4.928104968,6
10832_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.75829585,19.17664917,24.46747251,10.58164668,375.4952503,82608.95507,0.063636364,6259.8,0.5,0,85.4953652,4.936777259,5.5
10894_1,D4,DEKALB370,S0,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,119,69,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.75778986,19.22644301,24.49211643,10.53134685,373.7229044,80350.42444,0.065116279,6259.8,0.511627907,0,85.55292877,4.958013874,5
10895_1,D4,DEKALB370,S1,LabConvTra,2012,1,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,119,69,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.73959834,19.21693188,24.47826511,10.52266646,373.9939544,80782.69416,0.064814815,6259.8,0.509259259,0,85.5260645,4.962202328,5
10896_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,2,2,0,1,156,46,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.50997305,19.87439121,24.69218213,9.635581839,363.3489597,63949.41691,0.045454545,6168,0.607954545,0,85.03475114,4.755293137,4.5
10897_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,1,0,1,211,69,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.41834066,19.85092722,24.63463394,9.567413445,360.7777345,60971.43714,0.047337278,5818.8,0.597633136,0,85.20989508,4.685774854,4.1
10956_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,2,0,1,202,46,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.47893799,19.94988774,24.71441286,9.529050252,360.5032454,60925.04848,0.047337278,6084.8,0.621301775,0,85.15623676,4.675583634,3.5
11027_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.72888168,19.15142839,24.44015503,10.57745328,375.671941,82272.15507,0.059360731,6259.7,0.502283105,0,85.51753582,4.937097608,5
11059_1,D4,DEKALB370,S1,LabConvTra,2012,1,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.72087211,19.12507779,24.42297495,10.59579432,376.7190686,82501.47603,0.059360731,6259.6,0.502283105,0,85.52852525,4.9393786,4.5
11067_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,2,0,1,211,69,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.48505852,19.8950007,24.69002961,9.590057816,362.4629429,63068.55207,0.045977011,6149.4,0.609195402,0,85.16440462,4.623587757,4.2
11086_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,2,1,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.70665007,19.1005579,24.40360398,10.60609217,377.0552941,82575.10942,0.054794521,6228.6,0.497716895,0,85.48257819,4.969347823,5
11435_1,D4,DEKALB370,S0,LabConvTra,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,69.25,46,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,27.97109412,17.85957472,22.91533442,10.1115194,273.9205967,50675.31038,0,1406.2,0.254054054,0.005405405,82.09344228,4.478657429,4.1
11799_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,2,1,0,1,87,46,90,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,28.98025217,20.34911088,24.66468152,8.631141282,344.7576161,47576.55102,0.036231884,5310,0.68115942,0,85.48496813,4.844315034,4
11800_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,2,0,1,69,0,60,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.29429649,20.05811842,24.67620745,9.23617807,354.2391393,54198.58832,0.052287582,5471,0.62745098,0,85.30226706,4.752406467,4.5
11839_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,2,2,0,1,188,69,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,30.69845356,19.72150608,25.20997982,10.97694748,350.5874467,53990.46679,0.019480519,4633.2,0.766233766,0,85.42637369,5.592728185,4
11883_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,3,1,0,1,27,69,72,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.2482155,20.04395105,24.64608328,9.204264448,354.5216794,52114.68687,0.054421769,4970.8,0.619047619,0,85.42075404,4.78668314,2
12021_1,D4,DEKALB370,S0,AgrCons,2012,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,0,1,133,46,0,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,30.54550265,17.14814815,23.8468254,13.3973545,353.3356522,66780.43827,0.031746032,377,0.058201058,0,77.97407407,7.118074,6
12066_1,D2,DEKALB370,S1,LabConvTra,2012,0,1,0,0,1,1,0,0,0,1,0,2,2,0,0,3,1,0,1,234.96,69.68,0.52,51,16,33,7.197488844,1.532711559,34.55572422,96.0652222,28.56143818,17.80222271,23.18183045,10.75921547,443.3271344,72705.65004,0,2082.2,0.274390244,0,76.77328881,5.157530443,5.7
12136_1,D2,DEKALB370,S1,LabConvTra,2012,0,1,0,0,0,1,0,0,0,1,0,2,2,0,0,3,2,0,1,101.71,5.18,0.52,51,16,33,7.197488844,1.532711559,34.55572422,96.0652222,28.44942417,17.94232427,23.19587422,10.5070999,439.5706066,80001.85041,0,2159.8,0.269230769,0,77.28707298,5.402066218,5.1
12163_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,2,2,0,1,133,46,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.43238737,19.94978005,24.69108371,9.482607323,358.5636233,59162.99784,0.048484848,5993.6,0.63030303,0,85.18620854,4.716963819,5
12183_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,2,0,1,188,69,0,27,24,49,6.56125,1.67,21.16875,63.22875,29.70695534,19.87584453,24.79139993,9.831110812,364.6004031,69638.67699,0.073298429,6258.2,0.57591623,0,85.26718935,4.807042946,4
12222_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,3,2,0,1,225,46,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,29.35541643,19.73371078,24.5445636,9.621705648,363.9551574,58960.7355,0.049382716,4720,0.549382716,0,85.28382214,4.707504676,4
12241_1,D4,DEKALB370,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,2,2,0,1,156,46,0,18,30,52,6.701915159,0.796704498,16.17555298,82.78892056,31.67965216,20.71479399,26.19722308,10.96485817,346.6700918,57893.90533,0.053892216,9179.2,0.74251497,0.005988024,73.65123594,10.69955613,4
12354_1,D4,DEKALB370,S1,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,2,2,0,1,179,46,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.17245079,18.14790889,23.16017984,10.02454189,268.2015141,54981.31038,0.004878049,1687.4,0.258536585,0.004878049,82.25515523,4.579668023,5.2
12397_1,D4,DEKALB370,S0,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,2,0,1,156,46,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.0769525,18.03401431,23.05548341,10.0429382,277.831996,47509.27131,0,1285.4,0.257309942,0.005847953,81.86445496,4.155349472,4.5
12889_1,D4,DEKALB370,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,133,46,0,21,25,53,6.801249843,0.971386385,19.30618019,85.36964401,30.56919192,17.23131313,23.90025253,13.33787879,351.7657488,69649.61827,0.03030303,408.8,0.060606061,0,77.97560606,7.157601007,4.5
14308_1,D4,DEKALB370,S1,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,184,0,0,33,25,42,7.561586949,7.832170474,35.9052213,91.13669563,31.19884962,17.74233366,24.47059164,13.45651596,451.9765853,63728.69853,0,186.2,0.04964539,0.04964539,62.62659122,7.305472989,5
14340_1,D4,DEKALB370,S1,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,184,0,0,32,25,45,8.026289881,3.262639881,32.51181845,91.96425298,31.12904889,17.65661184,24.39283036,13.47243705,448.5189103,62344.12853,0,186.4,0.050359712,0.050359712,62.4691321,7.389575557,5.8
14403_1,D3,DEKALB370,S1,LabConvTra,2012,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,2,2,0,1,142.96,69.68,0.52,5,12,62,5.961770833,0.266354167,4.31,75.955,28.57272313,17.69562346,23.1341733,10.87709967,443.4616131,73171.16617,0,2073.6,0.272727273,0,76.57486861,5.215407883,5.3
14504_1,D4,DEKALB370,S1,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,0,1,55,23,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.05138688,18.14242485,23.09690587,9.908962024,273.8272549,49836.56038,0,1396.8,0.258241758,0.005494505,82.23712539,4.264078248,5.5
14523_1,D4,DEKALB370,S1,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,2,0,1,179,46,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.01200241,18.07614809,23.04407525,9.935854318,276.9767859,47363.03038,0,1299,0.263157895,0.005847953,82.07869486,4.274338719,5
14597_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,3,2,0,1,184.96,0.68,0.52,17,21,63,6.731375383,1.039815984,15.60040528,86.95051235,28.48592,17.58217847,23.03404923,10.90374153,442.629786,81886.51041,0,2127.8,0.254054054,0,76.76155288,5.558912961,5.7
